Town,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
KWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,199,199,1302,2663,2926,2926,3190,3190,4289,4289,7558,8340,8830,13921,17043,18379,18742,18750,20523,20703,21959,23134,24007,24722,26085,26608,28021,28021,28152,28238,28238,28238,28238,28641,28716,29022,29388,30590,30687,31188,31188,31543,32239,32587,32587,32729,33971,33971,33971,33971,35027,35741,35741,35741,35741,35741,38789,39194,39645
BD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2121,2748,3090,5610,8499,20117,27782,34205,39220,40339,41830,43565,44359,46864,49647,49647,50541,50541,50541,50773,52499,52663,53072,54725,54927,55067,55433,57239,57239,57369,57369,57657,58125,58125,58125,58220,59083,59083,59083,59083,59083,59083,59700,61098,61098,61826,62156
CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,910,910,1444,1444,1571,2233,2573,2573,2573,3949,4264,4264,5157,5428,6614,7290,7634,8170,8617,9110,9814,9814,9814,9814,9814,9814,9814,9814,9814,9814,9814,9814,9814,9814,9814,9814,10156,10156,10156,10156,10156,10156,10156,10156,10156,12004,12004,12004,12004,12004,12004,12004,12004,12004,12004
PRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,91,91,166,166,166,166,166,166,166,166,166,408,2804,6058,6480,7458,13819,20633,25704,27416,27416,27416,27416,27416,27416,27416,27416,27416,27416,27416,27416,27416,27416,27416,27416,27636,27636,27821,29207,29654,29654,29654,29654
BM,753,779,779,779,779,779,779,779,779,779,779,779,1338,1338,1338,1338,1338,1338,2216,2216,2216,2216,2216,2216,2216,2653,4331,5350,5350,6714,8632,9214,9671,9815,10335,11979,14180,18730,22973,25110,27969,28816,28816,29567,30098,31202,32495,33857,34361,35185,35185,35185,35220,35220,35220,35220,35534,35900,37161,37266,37382,37991,39108,41537,43922,43922,44715,45889,46411,46411,47717,48070,48070,48070,50788,50788,50788,51488,51488,52398,53878,55110
QT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,370,3095,3944,6842,7326,7326,7326,7822,8656,10126,10126,10348,12055,14600,16886,18454,18838,19176,19176,19176,19176,19176,19176,19176,19176,19176,19176,19176,19176,19176,19176,19176,19509,20709,20973,21090,21395,21706,22154,22489,22489,22951,22951,23303,23947,23947,25046,25046,25782,27610,29004,29004,29778,29778,31496,31496,32675,32675
GL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,140,140,499,931,931,2685,6188,6188,6188,6505,6683,6683,6683,7461,7461,8578,8862,12766,14649,14940,15906,16810,17454,18203,18693,20338,23383,23731,24004,24184,24500,24647,24647,24647,24647,24867,25134,25721,26031,26689,26689,26689,26689,26689,27158,27158,27945,27945,27945,27945,27945,28392,28392,28392,28392,28392,29367,29951,29951,29951
HG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,768,768,2208,2208,2208,2587,3869,6828,9608,15527,19606,26198,27487,28344,29790,32174,34738,34738,34738,34738,36412,39701,41620,45297,45297,45297,46572,47194,47194,47194,47194,47194,47194,47194,47194,47584,47864,47864,49312,51299,52080,53860,54327,56561
SGN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1049,1049,1049,1049,1049,1049,1908,8218,12008,12787,12843,15693,15693,16955,18019,18689,18689,18689,19546,20344,21042,21042,21042,21042,21042,21042,21042,21042,21042,21042,21042,21042,21042,21042,21289,21289,21289,21289,21289,21484,21634,21634
TP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1685,4351,6789,10808,11801,14103,15578,17970,18146,19994,20774,21060,21060,21060,21060,21060,21212,22821,25509,25646,26046,26238,27558,27558,27558,27558,28557,28661,29323,29998,30506,31316,32160,32646,33012,33168,33168,33168,33397,34094,34094,34944,35252,35252,35252,35252,36455,36455,36455,36891,36891,37898,38455
MP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5432,7565,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862,7862
WL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1264,1366,3128,5129,5225,5225,5225,6520,6520,7017,7435,13579,17590,18991,19467,19637,19637,19637,19637,19637,19837,23389,29002,38736,45626,52098,54803,54964,56766,57991,57991,57991,57991,57991,57991,57991,57991,58491,58491,59688,61301,62633,63399,63829,68154,69900
BT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,655,841,841,841,841,841,841,841,841,841,841,841,841,1245,2136,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422,2554,2554,2554,2554
TAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795,2465,13511,23575,28615,29597,37217,42179,43211,43211,43211,46479,49605,53697,59279,61168,61272,61272,61272,61272,61480,61480,61480,61480,61480,61480,61480,61480,62096,62474,63218,63673,63673,66596,66976,67910,68812,70755
CCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,1397,1397,1756,1833,1833,2697,2697,2697,2697,3423,5729,7426,9898,12651,15153,18919,22183,24194,27303,30175,34947,35192,37525,38984,39172,39172,39172,39172,39172,39172,39172,39172,39640,39983,40382,41256,41576,44373,48900,48900,48900
AMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,7074,11659,22380,35206,42915,43892,43892,43892,43892,43892,43892,43892,43892,43892,43892,43892,43892,43983,44290,44757,44757,44757,44757,45472,46141,46447,46447,46447,46582,47102,47102,47102,47102,47102,47652,48901,48901,48901,49157,49157,49440,50728,50728
BH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574,1168,1168,1168,1168,1168,1168,1168,1168,1168,1168,2544,4937,9065,11264,12373,12785,16683,18170,18170,18170,18170,18170,19008,19008,19008,19008,19008,19008,19008,19008,19008,19008,19008,19008,19008,19008,19184,19664,19664,19664,19664,19664,19664,20072,20072
BB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,1833,13796,21667,24135,24135,24415,24511,24511,24511,24815,24815,24970,25834,28040,29116,29200,29200,29200,29200,29602,30472,31730,31730,31730,31730,31730,31730,31730,32090,32090,32090,32270,32270,32982,39137,42988
CL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5194,11285,15172,17028,18008,18206,18950,20306,20306,20306,20306,20306,20306,20306,20306,20306,20306,20306,20306,20306,20306,20306,20306,20306,21257,21257,21257,21257,21627,21627,21627,21627,21627,21759,23205,24249,24249,24249,25137,26099,26601,26601
BP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2790,8646,12955,13351,13351,13351,13351,13351,13351,14110,16079,20616,21969,22948,27585,28097,28796,29498,29498,29498,29498,29498,29498,29498,29618,30207,30681,31305,34463,35325,35325,35325,35325
JE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,757,2198,2816,3156,5156,11206,13533,15673,16501,16593,16704,16704,16704,16704,16704,16704,16704,16704,16704,16867,20091,20588,20588,20588,21215,21360,21360,21360,21360,21360,21360,21360,21360,21360,21360,23184,23379,23379,23897,23897,23897,23897
PG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,7324,10538,14628,15277,15457,16258,16734,16874,17468,19836,24495,27792,30166,33142,39981,42984,48981,49909
SK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2654,12341,23356,30658,34227,35228,36925,38022,39376,40066,41189,42570,43490,44765,47623,48583,51790,58213,62643,65375,66605,67116
YS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,107,107,107,855,1685,4412,17029,23784,34024,42638,44488,44488,44488,44880,45314,45314,45691,45691,45691,45691,45691,46401,46401,46570,46598,46598,46598,46598,46598,46598,46598,46950,47082,48638,49166,51204,56008,56698,60054,62786,64334
SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2864,4928,12633,14814,15649,16227,16925,17217,17664,17664,17664,17664,18421,18421,18421,18421,19298,19854,20310,21900,25968,27241
JW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,1692,1692,2148,3758,5817,7744,8178,8262,8262,8262,8974,10178,15522,22313,22755,24207,25175,27434,30101,31827,31827,33623,34783,39812,42032,43636,45227,50345,56750,63296,65835,66539,66666,66666,66666,66666,66780,67242,67242,67875,67875,68430,69030,71090,71090,72069,74301,75208
